Names,Best For,Joining Fee,Renewal Fee,Welcome Bonus,Reward Rates,travel,Domestic Lounge Access,Insurance Benefits,Movie & Dining,Reward redemption,Golf,International lounge access,Zero Liability Protection,Spend based waiver,Reward redemption fee,Foreign currency markup,Interest Rates,Fuel Surcharge,Cash advance charge,Add on card fee,Eligibility,Limit
AU Bank Vetta Credit Card,"Travel , Shopping","Rs. 2,999 (plus applicable taxes)","Rs. 2,999 (plus applicable taxes)","Vouchers worth Rs. 2,000 from top brands on a minimum expenditure of Rs. 30,000 within 60 days of card setup.","10 Reward Points per Rs. 100 on utility bill payments (reward rate = 2.5%), 4 Reward Points per Rs. 100 on grocery and departmental store spends (reward rate = 1%), 2 Reward Points per Rs. 100 on all other retail spends except fuel (reward rate = 0.5%)","Reward Points redeemable for flight/hotel bookings on AU Rewardz portal, complimentary domestic and international airport lounge access, complimentary IRCTC loucnge access",1 per quarter under Visa domestic lounge program,"Comprehensive insurance cover including Credit Shield, lost card liability cover, air accident cover and many other travel-related insurance covers",NA,"Reward Points redeemable for e-vouchers, merchandise, mobile/DTH recharges, flight/hotel bookings on AU Rewardz portal, 1 Reward Point = Rs. 0.25",NA,1 per quarter with Priority Pass membership,Cardholder not liable for any fraudulent transaction with the card post reporting the loss of card to the bank,"Joining fee waived off on expenditure of Rs. 40,000 within 90 days of card setup, renewal fee (second year onwards) waived off on expenditure of Rs. 1.5 lakh in the preceding year",NA,2.99% of the transaction amount,2.99% per month (35.88% annually),"Fuel surcharge waived off at all filling stations across India for transactions between Rs. 400 and Rs. 5,000 (max waiver capped at Rs. 250 per month)",2.5% of the transaction amount (subject to a minimum charge of Rs. 100),NA,NA,NA
AU Small Finance Bank Altura Credit Card,Shopping,Rs. 199 + applicable taxes,Rs. 199 + applicable taxes,"Get a 5% cashback on retail spends worth Rs. 2,500 or more within 60 days.","Cashback of 2% on utility bills, groceries, and departmental stores and cashback of 1% on all other spends.",Complimentary access to railway lounges.,2 complimentary visits to railway lounges in India per quarter.,NA,NA,NA,NA,NA,Zero liability of the credit cardholder in case of loss or theft of card post reporting the same to the bank.,The joining and renewal fees will be waived off on the basis of the amount that you spend using your credit card.,NA,3.49% on all international spends.,3.49% per month,"Surcharge waiver of 1% on fuel transactions between Rs. 400 and Rs. 5,000.","Rs. 100 or 2.5% of the cash amount withdrawn, higher of the two.",NA,NA,NA
AU Bank LIT Credit Card,"Movies , Travel , Dining , Fuel , Shopping",NA,NA,NA,"1 Reward Point for every Rs. 100 spent on retail with the card, 10X or 5X accelerated Reward Points (For Specific Feature) and Additional cashbacks (For Specific Feature)",Complimentary access to domestic lounges in India.,4 complimentary lounge access per quarter,NA,"3 Months of complimentary Membership of Zee5, Amazon Prime and Additional 5% cashback for Dining expenses.",Redeem Reward Points for exciting discounts and offers.,NA,NA,Zero liability of the cardholder against fraudulent transactions in the event of loss or theft of the credit card if the same is reported to the customer care of the bank within 7 days from the loss of the card.,NA,NA,3.49% on all foreign currency spends.,3.49% per month,"1% fuel surcharge waiver for fuel transactions between Rs. 400 and Rs. 5,000.",2.5% of the transaction amount (subject to a minimum charge of Rs. 100),NA,NA,NA
Indusind Bank Pioneer Heritage Credit Card,"Movies , Travel","Rs. 90,000 + GST","Rs. 90,000 + GST",Oberoi e-gift voucher and a Luxe Gift card.,2.5 Reward Points for Rs 100 spent on international transactions and 1 Reward Points for Rs 100 spent on domestic transactions.,"Complimentary Domestic and International lounge access, complimentary LoungeKey membership and get a complimentary third-night stay at Oberoi Hotels and Resorts.",Unlimited (with Pioneer Heritage Metal credit card) and 2 per quarter (with Pioneer Heritage credit card),Complimentary air accident protection cover worth upto Rs 2.5 crore on this credit card,"Up to 3 complimentary tickets every month on Pioneer Heritage credit card and 4 Complimentary tickets every calendar quarter on Pioneer Heritage Metal credit card. Also, you get 20% off on your non-movie bookings.","1 RP = Rs 1 redeemed against a host of redemption options such as the Indus Moments reward portal, AirMiles, and against statement cash","12 complimentary rounds of green fees & 12 complimentary golf lessons every year. Also, you get 4 complimentary green fees rounds for guests.",Unlimited (with Pioneer Heritage Metal credit card) and 2 per quarter using LoungeKey membership (with Pioneer heritage Credit Card).,A protection liability cover in case of any fraudulent transactions reported within 48 hours,Waiver of the annual fee on the amount spent using this credit card in the previous year.,Rs. 100 per redemption request,1.8% of the amount transacted.,2.99% per month (35.88% per annum),"Surcharge waiver of 1% on fuel transactions between Rs. 400 and Rs. 4,000.",NA,NA,NA,NA
IndusInd Bank Celesta Credit Card,"Movies , Travel","Rs 50,000","Rs 50,000","You get either of Oberoi hotels/resorts vouchers worth Rs. 50K or Montblanc vouchers worth Rs. 50,000.",1 Reward Point for every Rs. 100 you spend on domestic purchases. 3 Reward Points for every Rs. 100 you spend on international purchases.,Get complimentary airport lounge visits,Enjoy unlimited complimentary access to domestic lounges.,"You get insurance coverage for an air accident, lost/delayed baggage, lost passport/ticket, missed connection, etc.",Get a 20% discount on movies and buy 1 get 1 free offer (BOGO) on movie tickets through BookMyShow. You get a complimentary Dineout Plus membership.,The Reward Points are redeemable against a variety of products. You can also redeem these points against AirMiles / Cash credit at a rate of 1 Reward Point = 1 air mile / Re.1.,3 complimentary golf games & 3 complimentary golf lessons every month.,NA,The cardholder would not be held liable for any unauthorized transactions done on the card if the loss has been reported to the bank within 48 hours.,The renewal fee is waived off on spending Rs. 10 lakhs or more in the last year.,Indusind Bank charges a reward redemption fee of Rs. 100,3.5% on all foreign currency spends,2.99% per month,1% fuel surcharge waiver across all fuel stations.,2.5% of the cash withdrawn or Rs. 300 (whichever is higher),"Rs. 5,000","The applicant should be between 21 years to 65 years of age.
The applicant should have a stable income (the applicant should be either a salaried employee or a self-employed individual).
The applicant should have a good credit history.",NA
Indusind Bank Crest Credit Card,"Travel , Shopping","Rs. 1,00,000 (annual fee of Rs. 10,000 to be paid in this case) or Rs. 2,00,000 (annual fee waived in this case)","Rs. 1,00,000 (annual fee of Rs. 10,000 to be paid in this case) or Rs. 2,00,000 (annual fee waived in this case)",NA,2.5 Reward Points per Rs. 100 you spend on international transactions and 1 Reward Point per 100 you spend on domestic transactions.,"LoungeKey membership with complimentary lounge access per quarter, and complimentary access to domestic lounges under the MasterCard India lounge access program.",2 complimentary domestic lounge visits quarterly under the MasterCard Lounge access program.,"Personal air-accident cover worth Rs. 2.5 crores, lost card liability protection from 48 hours prior to the time of reporting the loss of card.","Buy One Get One ticket offers on BookMyShow (max 3 free tickets per month), exclusive dining benefits with Club ITC Culinaire membership.",1 RP = Re. 1 for redeeming against cash credit and 1 RP = 1 AirMile when redeeming against partner airlines’ airmiles.,3 complimentary golf rounds and golf lessons every month with the exclusive golf program and 12 complimentary golf lessons & golf games every year with the Mastercard Golf program.,2 complimentary international lounge visits every quarter with the LoungeKey membership,Zero cost liability protection from 48 hours prior to reporting the loss of card.,"Annual membership fee waived off on spending Rs. 20,00,000 in the previous year",Rs. 100,3.5% + GST,2.99% per month (or 36% annually),"Waived for transactions between Rs. 400 and Rs. 4,000","2.5% of the advanced amount, subject to a minimum amount of Rs. 300","Rs. 10,000",NA,NA
IndusInd Bank Indulge Credit Card,"Travel , Dining , Shopping","Rs. 2,00,000 (no annual fee applicable) or Rs. 1,00,000 (Rs. 10,000 annual fee applicable in this case)","Rs. 2,00,000 (no annual fee applicable) or Rs. 1,00,000 (Rs. 10,000 annual fee applicable in this case)",NA,1.5 Reward Points for every Rs. 100 spent using the card,"Reward Points redeemable against AirMiles, complimentary Priority Pass membership with 2 complimentary international lounge access per quarter, 4 complimentary domestic lounge access per quarter under the Visa Lounge program",6 complimentary domestic lounge access per quarter under the Visa Lounge program,Personal air-accident insurance worth Rs. 2.5 crores,Buy One Get One ticket offer on BookMyShow (max transaction capped at Rs. 700 and max 3 free tickets/month),"Reward Points redeemable against AirMiles, Cash Credit or IndusMoments",Unlimited complimentary golf games/lessons at some of the premium golf destinations in the country,Unlimited complimentary international lounge access using Priority Pass,Zero liability protection from 48 hours prior to the time of reporting the loss of card,"Annual fee waived on expenditure of more than Rs. 20,00,000 in the preceding year",Rs. 100,1.8% + GST,1.79% per month (or 21.48% annually),"1% fuel surcharge is waived for transactions between Rs. 400 and Rs, 4,000.",2.5% (subject to a minimum amount of Rs. 300),NA,NA,NA
IndusInd Bank Pinnacle World Credit Card,"Travel , Shopping","Rs 12,999/- plus applicable taxes","Rs 12,999/- plus applicable taxes","Choose any one benefit from, a Luxe gift card, a complimentary night stay at Oberoi hotels, or gift vouchers from brands like Vero Moda, BATA, Titan, ALDO, etc.","Earn 2.5 reward points per Rs. 100 spent online, 1.5 reward points per Rs. 100 spent on online travel and flight bookings,  1 RP for spends of Rs. 100 on other purchases.",Complimentary domestic lounge access and Priority Pass membership with complimentary international lounge access.,1 complimentary domestic lounge visit every quarter.,Air accident cover that is worth Rs. 25 lakhs and several travel-related insurance covers.,Buy 1 get 1 Free offer (BOGO) on movies with up to 3 complimentary movie tickets every month.,1 RP = Re. 1 for rdeeming against cash credit & 1 RP = 1 InterMile/1  CV Point for redeeming RPs against travel related spends.,Get 4 complimentary golf lessons and 2 complimentary golf games every month.,2 complimentary international lounge visits with the Priority Pass.,The cardholder will not liable for any fraudulent transaction done on the card post the issue is reported to the bank.,NA,Rs. 100 plus applicable taxes per redemption request,International usage charges of 3.5%,3.83 per month ( 46% per annum),1% fuel surcharge waiver applicable on all fuel transactions,2.5% of cash advance subject to a minimum charge of Rs 300/-,NA,NA,NA
EazyDiner Indusind Bank Credit Card,Dining,"Rs. 1,999 plus applicable taxes","Rs. 1,999 plus applicable taxes","2,000 bonus RPs and complimentary membership of EazyDiner Prime.",4 Reward Points per Rs. 100 retail spend and 10 Reward Points for dining spends through the EazyDiner app.,Complimentary access to domestic lounges every year,2 complimentary access to domestic lounges every quarter.,NA,Up to 50% additional discounts on dining spends via the EazyDiner app,The reward points earned are redeemable for payment of bills via the EazyDiner app.,NA,NA,"If any unauthorized transaction is performed on the lost or stolen card, the liability will not fall on the cardholder provided that the bank has been reported in a timely manner.",NA,NA,3.5% of the total transaction amount,3.83% per month,"1% fuel surcharge waiver on transactions between Rs. 400 and Rs. 4,000 at fuel stations.",2.5% of the withdrawn amount subject to a minimum of Rs. 300.,NA,NA,NA
IndusInd Legend Credit Card,"Travel , Shopping","Rs. 9,999 + Applicable Taxes","Rs. 9,999 + Applicable Taxes","Choose one of these: a Luxe gift card, a complimentary stay at Oberoi Chain of Hotels, and gift vouchers from popular brands like Charles Keith, Yatra, Louis Philippe, etc.",1 Reward Point per Rs. 100 spends on weekdays and 2 Reward Points for every Rs. 100 you spend on weekends.,Complimentary domestic airport lounge access along with Priority Pass membership,2 complimentary domestic lounge access every quarter,Get a Complimentary Air Accidental cover of Rs 25 Lakhs. Complimentary Lost baggage Insurance of Rs 1 lakh and several other travel insurance covers.,Buy 1 get 1 free (BOGO) with up to 3 complimentary movie tickets every month.,"1 RP = 1 InterMiles for redemption against Intermile, 1 RP = Re. 1 for redemption against cash credit, and 1 RP = 1 CV Point for redemption against Club Vistara Points.",Get Complimentary golf lessons and sessions at some of India’s finest Golf courses.,NA,Lost card liability is applicable from 2 days before reporting and till 7 days after informing the loss of card.,NA,Rs. 100,1.80% on all foreign currency transactions,3.83% per month (46% per annum),1% of Fuel Surcharge Waiver applicable at all fuel stations across India.,2.5% of the transaction amount (Minimum charge of Rs. 500),NA,NA,NA
Club Vistara IndusInd Bank Explorer Credit Card,"Movies , Travel","Rs. 40,000","Rs. 40,000","Complimentary Club Vistara Gold Membership, complimentary business class ticket, and exclusive gift vouchers worth Rs 25,000.","On every spend of Rs. 200, you get 8 CV Points on the Club Vistara website, 6 CV Points on travel-related spends, 1 CV Point on utilities, insurance & fuel, and 2 CV Points elsewhere.",Complimentary domestic and international lounge visits.,1 domestic lounge visits every quarterly.,Air accident cover (worth Rs. 2.5 crores) and many other travel insurance covers.,"Buy 1 Get 1 Free (BOGO) offer on movie tickets via BookMyShow & Rs. 3,000 off on dining twice a year.",The CV Points earned are redeemable against travel-related bookings on Club Vistara website.,NA,4 complimentary access to international lounges every quarter via Priority Pass.,Cardholders will not be held liable for any unauthorized transactions made on the card after reporting the loss to the bank.,NA,NA,NA,2.85% per month,1% fuel surcharge is waived off at all fuel stations.,NA,NA,"Visit the official website of IndusInd Bank.
Under the section ‘Products,’ select ‘Credit Card.’
Choose the ‘Club Vistara IndusInd Bank Explorer Credit Card’ and click on ‘apply now.’
Fill in the details asked there and proceed.",NA
IndusInd Bank Iconia Visa Credit Card,Movies,"Rs. 3,499","Rs. 3,499","The card provides various welcome benefits in the form of gift cards and vouchers that include Montblanc, Luxe Gift card, the Postcard hotel, and vouchers/gift cards for Amazon, Flipkart, Big Bazaar, Zee5, Apollo pharmacy, and many more.",0.75 Reward Point for every spend of Rs. 100 on weekdays. 1 Reward Point for every spend of Rs. 100 on weekends.,Complimentary Priority Pass Membership for you and your add-on cardholder.,NA,"Insurance coverage for lost baggage, delayed baggage, lost passport, lost ticket, and missed connection is provided.",Buy 1 get 1 free offer on movie tickets on Bookmyshow.,"1RP = Re. 1 for redemption against cash, 1 RP = 1 InterMile / 1 CV Point.",Complimentary golf games and lessons at several leading golf clubs in India.,NA,You will not be liable for any unauthorized transactions made on your card if the card is reported lost/stolen to the IndusInd bank within 48 hours.,NA,NA,3.5% on all foreign currency spends,3.83% per month,1% fuel surcharge waiver is provided.,2.5% of the transacted amount or Rs. 300 (whichever is higher),NA,"Identity Proof – Aadhar Card/PAN Card and a passport-size photograph.
Address Proof – Aadhar Card, Passport, Utility bills, Driving License, etc.
Income Proof – Latest bank statements and salary slips or the latest copy of ITR.",Conclusion
IndusInd Bank Duo Plus Credit Card,Movies,"Rs. 1,500","Rs. 1,500","Gift vouchers worth Rs. 1,000",1 Reward Points per spend of Rs. 150,Complimentary Priority Pass membership,NA,Insurance coverage against personal accidents and against a lost card is provided.,But 1 get 1 free offer on movie tickets,1 RP = Re. 0.75 for redemption on Indusmoments and 1 RP = Re. 0.75 for redemption against cash credit.,NA,NA,The cardmember will not be liable for any fraudulent transactions made on his/her card after reporting the loss to the bank.,NA,Rs. 100,2% on all foreign currency spends,3.83% per month,"1% fuel surcharge is waived off for all transactions between Rs. 400 & Rs. 4,000",2.5% of the cash amount or Rs. 500 (whichever is higher),NA,NA,NA
IndusInd Intermiles Voyage Visa Credit Card,Travel,"Rs. 2,000 + GST","Rs. 2,000 + GST","2,000 bonus InterMiles, flight discount voucher worth Rs. 750 & hotel discount voucher worth Rs. 1,500.","2 InterMiles per Rs. 100 spent on weekdays, 3 Intermiles per Rs. 100 spent on weekends & 2x InterMiles on flight/hotel bookings on intermiles.com.",Complimentary Priority Pass Membership & several travel insurance covers.,NA,Complimentary air accident insurance cover upto Rs. 25 lakhs.,1+1 offer on movie ticket bookings with BookMyShow.,InterMiles can be redeemed against flight and hotel bookings at www.intermiles.com and against shopping vouchers at rewardstore.intermiles.com.,1 complimentary golf game & 1 lesson every quarter.,NA,Zero liability protection cover is provided if loss is reported within a stipulated period of 48 hours,NA,NA,3.5% on the conversion amount,3.83% per month ( 46% per annum),"1% fuel surcharge waiver on all transactions between Rs. 400 to Rs. 4,000 across all fuel stations in India",2.5% on the withdrawal amount subject to a minimum charge of Rs. 300,NA,"Proof of Income: Latest salary slips/bank statements, or latest audited ITR.
Identity Proof: PAN Card, Aadhar Card, Voter’s Id, Passport, Driving License, etc.
Address Proof: Latest utility bills, Passport Aadhar Card, Passport, Ration Card, etc.",NA
IndusInd Bank Pioneer Legacy Credit Card,"Movies , Travel","Rs. 45,000 plus GST","Rs. 45,000 plus GST","Oberoi hotel e-gift voucher and a Luxe Gift card worth Rs 5,000",Get 2 Reward Points on every Rs 100 spent on weekends and 1 Reward Point on every Rs 100 spent on weekdays.,Complimentary domestic as well as international lounge access and several travel insurance covers.,1 complimentary domestic lounge access every quarter,Complimentary Air Accident cover worth Rs 25 lakhs.,Buy 1 Get 1 free offer on movie tickets on BookMyShow,1 RP = Re. 1 for redemption against cash credit and 1 RP = 1 InterMile / 1 CV Point for redemption against InterMiles or club Vistara points.,4 complimentary golf games every month,2 complimentary international lounge access every quarter.,Get a liability protection cover on loss/theft of card if reported within 48 hours.,NA,Rs. 100,1.8% on all foreign currency transactions,3.83% per month ( 46% per annum),"1% surcharge waiver on fuel transactions made between Rs. 400 and Rs. 4,000",NA,NA,NA,NA
IndusInd Bank Signature Visa Credit Card,Travel,"Rs. 50,000","Rs. 50,000",Get a luxurious stay at any of the best Oberoi hotels.,1.5 Reward Point on every Rs. 100 spent,You get complimentary Priority Pass Membership and complimentary domestic lounge access.,2 complimentary domestic lounge access every quarter,"Insurance cover for air accident, lost passport, lost baggage, delayed baggage, lost ticket & missed connection is provided.",Buy 1 get 1 free offer on movie tickets on BookMyshow,"For redemption against cash credit, 1RP = Re. 1 and for redemption against Intermiles/CV Points, 1 RP = 1 InterMile / 1 CV Point.",Get 1 complimentary golf game and 1 lesson each month.,NA,Cardholders will not be liable for any fraudulent transactions made on a lost/stolen card if the loss is reported in a timely manner.,NA,Rs. 100,3.5% on all foreign currency transactions,3.83% per month (45.96 per annum),"1% fuel surcharge waiver across all petrol stations in India for transactions between Rs. 400 and Rs. 4,000.",2.5% or Rs. 300 (whichever is higher),NA,NA,NA
IndusInd Bank Platinum Aura Credit Card,Shopping,Rs. 500,Rs. 500,"Welcome gift vouchers from Bata, Vero Moda, and Eazy Diner.",0.5 Saving points per Rs. 100 spent on all categories. Up to 4 saving points per Rs. 100 spent on selected categories.,"Complimentary Priority Pass membership with access to over 1,000 lounges globally.",NA,"You get insurance coverage against an air accident, lost/delayed baggage, lost passport/ticket and unauthorized transactions made on a lost/stolen card.",NA,1 RP = Re. 0.5 for redemption against cash credit and 1 RP = 1 Intermile / 0.5 CV Point for redemption against Intermiles or CV Points.,NA,NA,Zero liability protection against a lost/stolen card on reporting the loss to the bank within 48 hours.,NA,Rs. 100,3.5% of the foreign currency amount transacted,3.83% per month,"1% fuel surcharge waiver for all transactions between Rs. 400 and Rs. 4,000",2.5% or Rs. 300 (whichever is higher),NA,NA,NA
Indusind Bank Iconia Amex Credit Card,"Movies , Travel , Dining","Rs. 3,500 plus applicable taxes","Rs. 3,500 plus applicable taxes","You get exclusive Montblanc e-gift vouchers, Postcard hotel vouchers, and Luxe Gift cards, and vouchers from popular brands like Flipkart, Big Bazaar, and many more.",1.5 reward points on every Rs 100 spent on weekdays and 2 reward points on every Rs 100 spent on weekends.,You get Complimentary Domestic lounge access with this AMEX card and a complimentary priority pass membership.,8 Complimentary domestic lounge access every year using this credit card.,Personal Air Accident cover worth Rs. 25 lakhs,Buy 1 Get 1 on movie ticket bookings on movie bookings with BookMyShow.,1 Reward Point = Rs 1 for redemption against cash credit & 1 RP = 1 InterMile / 1 CV Point for redemption against the same.,1 complimentary golf game and 1 golf lesson every quarter.,NA,You get zero liability protection cover against fraudulent charges if reported within the stipulated time period.,NA,Rs. 100 per redemption request.,3.5% on all international transactions,3.83% per month ( 46% per annum),1% fuel surcharge waiver on transactions at all fuel stations across India.,2.5% on withdrawal amount subject to a minimum charge of Rs 300,NA,NA,NA
IndusInd Bank Platinum Select Credit Card,Shopping,Rs. 999,Rs. 999,"Get great discounts at EazyDiner, and gift vouchers from BATA and Vero Moda.",1 Reward Point per Rs. 150 spent.,Complimentary Priority Pass membership,NA,"Insurance cover for air accident, lost passport, lost or delayed baggage, missed connection, and lost/stolen card is provided.",Buy 1 get 1 free (BOGO) offer on movie tickets on Bookmyshow,"1 RP = Re. 0.75 when redeemed against cash credit, 1 RP = 1 Intermile & 1 RP = 0.5 CV Point when redeemed against airmiles.",NA,NA,Cardholder will not be liable for any unauthorized transactions done on the card post reporting the loss to the bank about the loss of card.,NA,Rs. 100 plus taxes per redemption request,3.5% on all international transactions,3.83% per month (45.96% per annum),"1% fuel surcharge waiver for all transactions between Rs. 400 & Rs. 4,000.",2.5% of the withdrawn amount or Rs. 300 (whichever is higher),NA,NA,NA
IndusInd Bank Platinum Credit Card,Shopping,"Rs. 3,000","Rs. 3,000","You get exclusive offers on premium brands (like ALDO, Vero Moda, etc.); gift vouchers; Amazon vouchers; etc.",1.5 RPs per Rs. 100 spent and 1.2 RPs per Rs. 100 spent on utilities & insurance categories.,Complimentary Priority Pass Membership.,NA,Complimentary Air Accidental death cover worth Rs. 25 Lakhs.,1+1 (Buy 1 Get 1) offer on movie tickets on BookMyShow.,1 RP = Re. 0.85 while redeeming reward points against cash and 1 RP = 1 InterMile / 1 CV Point.,1 complimentary golf game & 1 lesson every quarter.,NA,Zero liability of cardholders against deceitful transactions if loss or theft of card is reported to the customer care of the bank within the specified time frame.,NA,Rs. 100,3.5% of the transacted amount.,3.83% p.m. (46% p.a.),"1% fuel surcharge waiver on transcations between Rs. 400 and Rs. 4,000 at all fuel stations in India.","Rs. 300 or 2.5% of the amount withdrawn, higher of the two.",NA,NA,NA
IndusInd Bank Payback Credit Card,"Movies , Shopping",Rs. 249 + GST,Rs. 249 + GST,"1,000 PAYBACK points after paying the joining fee","20 PAYBACK Points per Rs. 100 spent on movies, 5 PAYBACK Points for groceries,  dining, & shopping, and 2 PAYBACK Points on other spends.",NA,NA,Covers personal air accident insurance up to Rs. 25 lakhs.,NA,"Redeem your PAYBACK points against e-vouchers, recharges, buying products from the given catalog, etc. (www.payback.in). 1 PAYBACK Point = Re. 0.25.",NA,NA,The cardholder will not be liable for any unauthorized transaction done on the card if the card is reported lost or stolen to the bank in 48 hours.,NA,Rs. 100,3.5% on all foreign transactions,3.83% p.m. (46% p. a.),Get 1% fuel surcharge waiver on transactions between Rs. 400 – Rs. 4000 at fuel stations in India.,2.5% of the advance amount (minimum of Rs. 300),NA,NA,NA
IndusInd Nexxt Credit Card,"Movies , Shopping","Rs. 3,499 with applicable taxes","Rs. 3,499 with applicable taxes","Gift vouchers from one of these brands: EazyDiner, Bata, Oberoi Hotels, Yatra, Vero Moda, or Aldo, etc as welcome gifts.",1 Reward Point per Rs. 150 spent,Complimentary Priority Pass Membership,NA,Get personal Air Accident cover up to Rs. 25 Lakhs,Avail of “buy one get one offer” every month on BookMyShow.com.,1 RP = Re. 1 for redemption against cash credit & 1 RP = 1 InterMile / CV point.,NA,NA,You won’t be liable for any fraudulent transactions made on your card if the card is reported lost/stolen to the bank in a timely manner.,NA,Rs. 100,3.5% on the conversion amount,3.83% p.m.,Avail 1% fuel surcharge waiver on transactions between Rs. 400 – Rs. 4000,2.5% or a minimum of Rs. 300,NA,NA,NA
Axis Bank Magnus Credit Card,"Travel , Shopping","Rs. 10,000 + GST","Rs. 10,000 + GST","Choose any one of these- Tata Cliq voucher or a free domestic flight ticket worth Rs. 10,000.","12 Axis EDGE REWARDS Points for every Rs. 200 spent with the card, 5X EDGE REWARDS on travel spends via TRAVEL EDGE.","Complimentary international as well as domestic airport lounge access, airport concierge service and discounts on stays at Oberoi Hotels.",Unlimited domestic airport lounge access,"Travel-related insurance coverage, which includes an air accident cover worth Rs. 4.5 crore, Credit shield protection worth Rs. 5 lakh (in case the card is lost) and a purchase protection worth Rs. 2 lakh.","Buy one and get up to Rs. 500 off on the next movie/non-movie ticket on BookMyShow (max 5 times a month), 25% off at 2,000+ restaurants across India.",Axis EDGE REWARDS Points can be redeemed on the EDGE REWARDS portal at a value of 1 Edge Reward = Re. 0.20 or Transfer to Partner Airlines/Hotels Rewards Program.,NA,Unlimited complimentary international airport lounge access for primary cardholders and 8 complimentary visits for the guests every year with Priority Pass,"Credit shield cover worth Rs. 5 lakh, liability protection up to the card’s credit limit.",Annual fee waived off on an expenditure of Rs. 15 lakhs in the preceding year.,NA,2% + GST,3.0% per month (42.58% annually),1% fuel surcharge waived off at all fuel stations across India,NA,NA,"Your age must be between 18 years and 70 years for primary cardholders, and above 18 years for add-on cardholders.
Your annual income must be at least Rs. 18 lakh (for both salaried and self-employed applicants).",NA
Axis Bank Reserve Credit Card,"Movies , Travel , Dining , Shopping","Rs. 50,000 (plus applicable taxes)","Rs. 50,000 (plus applicable taxes)","50,000 Edge Reward Points on card activation and every year the card membership is renewed","15 Edge Reward Points per Rs. 200 spent with the card, 2X Edge Reward Points on all international spends","Global travel and medical assistance on international trips, complimentary domestic and international airport lounge access, complimentary Club ITC Culinaire membership, complimentary Accorplus membership, complimentary Club Marriott Asia Pacific membership.",Unlimited domestic airport lounge access for both primary and add-on card holders,Comprehensive insurance cover including an air accidental cover worth Rs. 4.5 crores and multiple other travel-related insurance benefits,"Complimentary Eazydiner Prime membership, 20% off at participating restaurants with the Dining Delights program, Buy One Get One offer on BookMyShow",Axis Bank Edge Reward Points can be redeemed for instant vouchers and exclusive products on the bank’s Edge Rewards redemption portal,50 complimentary rounds of golf every year at country’s premium golf courses,Unlimited international airport lounge access every year with Priority Pass membership.,Cardholder not liable for any fraudulent transactions on the card post reporting the loss of card to the bank,Renewal fee waived off on a minimum expenditure of Rs. 25 lacs in the preceding 12 months,NA,1.5% of the transaction amount,3% per month (or 42.58% annually),"1% fuel surcharge waived off at all filling stations across India for transactions between Rs. 400 and Rs. 4,000 (max waiver capped at Rs. 400 per month)",NA,NA,NA,NA
Axis Bank Atlas Credit Card,Travel,"Rs. 5,000 (plus applicable taxes)","Rs. 5,000 (plus applicable taxes)","5,000 Edge Miles on completing 3 transactions within 60 days of card set up date","5 Edge Miles for every Rs. 100 spent on travel spends, 2 Edge Miles per Rs. 100 on forex transactions, 1 Edge Miles for every Rs. 100 spent on all other transactions","Complimentary airport lounge access, complimentary airport concierge service","8 per annum with Silver Tier, 12 per annum with Gold Tier and 18 per annum with Platinum Tier",NA,Discounts of up to 20% a partner restaurants under Axis Bank’s Dining Delights Program,Edge Miles redeemable for hotel/flight bookings or are transferable to partner airlines’ frequent flyer program,NA,"4 per annum under Silver Tier, 6 per annum under Gold Tier and 12 per annum under Platinum Tier",NA,NA,NA,3.5% of the transaction amount,3.6% per month (or 52.86% annually),"1% fuel surcharge waiver on fuel transactions between Rs. 400 and Rs. 4,000 (capped at Rs. 400 pm)",2.5% of the withdrawal amount (subject to min charge of Rs. 500),NA,NA,NA
Axis Bank SELECT Credit Card,"Travel , Shopping","Rs. 3,000 (plus applicable taxes)","Rs. 3,000 (plus applicable taxes)","Amazon voucher (worth Rs. 2,000) on making the first transaction within 90 days of card issuance.",10 EDGE Points per Rs. 200 spent and 20 EDGE Points per Rs. 200 spent on retail shopping.,Complimentary Priority Pass membership and complimentary international and domestic lounge access,8 complimentary domestic lounge visits every year (max 2 per quarter).,"Insurance cover against air accidents, lost/delayed baggage, purchase protection, and loss of travel documents.",Buy 1 movie ticket and get up to Rs. 300 off on second ticket on BookMyShow; get up to 20% discount on dining bills.,EDGE Points earned redeemable on the EDGE Rewards portal for travel/shopping vouchers and product purchases (from the given catalog). 1 EDGE Point = Rs. 0.20.,6 complimentary golf rounds every year. 3 additional golf rounds on minimum annual spends of Rs. 3 lakh with the Select Credit Card.,6 complimentary international lounge visits every year with Priority Pass membership,Cardholder shall not be liable for any fraudulent transactions if the lost card has been reported to the bank in a timely manner.,Renewal fee waived off on spending Rs. 6 lakh in a year,NA,3.5% of the transaction amount,3.40% per month (49.36% annually),"1% fuel surcharge waived off for transactions between Rs. 400 & Rs. 4,000 at all filling stations across India.",2.5% of the amount withdrawn or Rs. 250 (whichever is higher),NA,"Visit the official website of Axis Bank.
Click on ‘Credit Cards.’
Scroll down and find the Axis Bank Select Credit Card.
Click on the option ‘Apply Now’ under that.
Proceed with filling in all the necessary details and submit.",Axis Bank Select Credit Card Bill Payment
